1AVIF / 2AVIF;R;
1AVIF / 2AVIF;D;
1AVIF / 2AVIF;E1;
1AVIF / 2AVIF;AM;
1AVIF / 2AVIF;NWG2;
1AVIF / 2AVIF;NWG2;
1AVIF / 2AVIF;AINF;
1AVIF / 2AVIF;GINF;
1AVIF / 2AVIF;COPR;
1ABIF / 2ABIF;R;
1ABIF / 2ABIF;D;
1ABIF / 2ABIF;E1;
1ABIF / 2ABIF;AM;
1ABIF / 2ABIF;POS1;
1ABIF / 2ABIF;DBI1;
1ABIF / 2ABIF;BWM;
1ABIF / 2ABIF;SYP1;
1ABIF / 2ABIF;TINF;
1ABIF / 2ABIF;COPR;
3ABIF ;R;
3ABIF ;DUK;
3ABIF ;EUK;
3ABIF ;AM;
3ABIF ;ATM;
3ABIF ;WR3;
3ABIF ;POS1;
3ABIF ;DBI1;
3ABIF ;NVS1;
3ABIF ;BWM;
3ABIF ;SYP1;
4ABIF;R;
4ABIF;D;
4ABIF;E1;
4ABIF;AM;
4ABIF;ATM;
4ABIF;WR3;
4ABIF;POS1;
4ABIF;DBI1;
4ABIF;NVS1;
4ABIF;BWM;
4ABIF;SYP1;
5ABIF / 6ABIF;WR3;
5ABIF / 6ABIF;POS1;
5ABIF / 6ABIF;DBI1;
5ABIF / 6ABIF;NVS1;
5ABIF / 6ABIF;NVS1;
5ABIF / 6ABIF;BWM;
5ABIF / 6ABIF;SYP1;
